,symboling,normalized-losses,make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,nlimpute,num_doors,num_cylinders
0,2,164.0,audi,gas,std,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,109,mpfi,3.19,3.40,10.0,102,5500,24,30,13950.0,audi,4,4
1,2,164.0,audi,gas,std,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,136,mpfi,3.19,3.40,8.0,115,5500,18,22,17450.0,audi,4,5
2,2,161.0,audi,gas,std,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,15250.0,audi,2,5
3,1,158.0,audi,gas,std,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,17710.0,audi,4,5
4,1,161.0,audi,gas,std,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,25,18920.0,audi,4,5
5,1,158.0,audi,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,131,mpfi,3.13,3.40,8.3,140,5500,17,20,23875.0,audi,4,5
6,0,161.0,audi,gas,turbo,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053,ohc,131,mpfi,3.13,3.40,7.0,160,5500,16,22,17859.166666666668,audi,2,5
7,2,192.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16430.0,bmw,2,4
8,0,192.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925.0,bmw,4,4
9,0,188.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,2,6
10,0,188.0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,4,6
11,1,190.0,bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,4,6
12,0,190.0,bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,4,6
13,0,190.0,bmw,gas,std,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,2,6
14,0,190.0,bmw,gas,std,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,4,6
15,2,121.0,chevrolet,gas,std,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,,2,3
16,1,98.0,chevrolet,gas,std,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,,2,4
17,0,81.0,chevrolet,gas,std,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,,4,4
18,1,118.0,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,,2,4
19,1,118.0,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,,2,4
20,1,118.0,dodge,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,,2,4
21,1,148.0,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,,4,4
22,1,148.0,dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,,4,4
23,1,148.0,dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,,4,4
25,-1,110.0,dodge,gas,std,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,,4,4
26,3,145.0,dodge,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,156,mfi,3.60,3.90,7.0,145,5000,19,24,12964.0,,2,4
27,2,137.0,honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,,2,4
28,2,137.0,honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,,2,4
29,1,101.0,honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,,2,4
30,1,101.0,honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,,2,4
31,1,101.0,honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,,2,4
32,0,110.0,honda,gas,std,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,,4,4
33,0,78.0,honda,gas,std,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,,4,4
34,0,106.0,honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,,2,4
35,0,106.0,honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,,2,4
36,0,85.0,honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,,4,4
37,0,85.0,honda,gas,std,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,,4,4
38,0,85.0,honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,,4,4
39,1,107.0,honda,gas,std,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,,2,4
40,0,145.0,jaguar,gas,std,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,,4,6
41,1,104.0,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,2,4
42,1,104.0,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,2,4
43,1,104.0,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,2,4
44,1,113.0,mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,4,4
45,1,113.0,mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda,4,4
50,1,129.0,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda,2,4
51,0,115.0,mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda,4,4
52,1,129.0,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda,2,4
53,0,115.0,mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda,4,4
55,0,115.0,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda,4,4
56,0,118.0,mazda,gas,std,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda,4,4
57,0,123.93333333333334,mazda,diesel,std,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda,4,4
58,-1,93.0,mercedes-benz,diesel,turbo,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,mercedes-benz,4,5
59,-1,93.0,mercedes-benz,diesel,turbo,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,mercedes-benz,4,5
60,0,93.0,mercedes-benz,diesel,turbo,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,mercedes-benz,2,5
61,-1,93.0,mercedes-benz,diesel,turbo,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,mercedes-benz,4,5
62,-1,102.8,mercedes-benz,gas,std,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,234,mpfi,3.46,3.10,8.3,155,4750,16,18,34184.0,mercedes-benz,4,8
63,3,142.0,mercedes-benz,gas,std,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,234,mpfi,3.46,3.10,8.3,155,4750,16,18,35056.0,mercedes-benz,2,8
64,0,102.8,mercedes-benz,gas,std,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,308,mpfi,3.80,3.35,8.0,184,4500,14,16,40960.0,mercedes-benz,4,8
65,1,102.8,mercedes-benz,gas,std,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,304,mpfi,3.80,3.35,8.0,184,4500,14,16,45400.0,mercedes-benz,2,8
66,2,161.0,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,2,4
67,2,161.0,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,2,4
68,2,161.0,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,2,4
69,1,161.0,mitsubishi,gas,turbo,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi,2,4
70,3,153.0,mitsubishi,gas,turbo,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi,2,4
71,3,153.0,mitsubishi,gas,std,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi,2,4
72,3,146.2,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi,2,4
73,3,146.2,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi,2,4
74,3,146.2,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi,2,4
75,1,125.0,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,4,4
76,1,125.0,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi,4,4
77,1,125.0,mitsubishi,gas,turbo,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,4,4
78,-1,137.0,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,4,4
79,1,128.0,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,,2,4
80,1,128.0,nissan,diesel,std,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,,2,4
81,1,128.0,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,,2,4
82,1,122.0,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,,4,4
83,1,103.0,nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,,4,4
84,1,128.0,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,,2,4
85,1,128.0,nissan,gas,std,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,,2,4
86,1,122.0,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,,4,4
87,1,103.0,nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,,4,4
88,2,168.0,nissan,gas,std,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,,2,4
89,0,106.0,nissan,gas,std,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,,4,4
90,0,106.0,nissan,gas,std,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,,4,4
91,0,128.0,nissan,gas,std,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,,4,6
92,0,108.0,nissan,gas,std,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,,4,6
93,0,108.0,nissan,gas,std,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,,4,6
94,3,194.0,nissan,gas,std,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,,2,6
95,3,194.0,nissan,gas,turbo,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,,2,6
96,1,231.0,nissan,gas,std,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,,2,6
